,Lat,Lng,Price,Tempature (C),ZipCode
3162,35.39,-118.99,109000,6.52,93305
3168,38.29,-122.28,537400,12.37,94559
3173,37.92,-122.07,545800,12.4,94597
3176,37.72,-122.48,943800,12.08,94132
3177,33.97,-118.35,373400,15.87,90302
3182,35.77,-119.25,128200,11.77,93215
3201,37.33,-120.51,169700,14.0,95348
3202,33.88,-117.99,462700,15.78,90621
3209,34.0,-118.04,469600,16.0,90601
3219,37.24,-121.96,1233700,12.09,95032
3220,34.07,-117.9,519500,15.84,91791
3222,33.6,-117.26,326800,16.27,92595
3231,34.18,-119.22,594800,16.19,93035
3241,37.57,-122.05,626600,12.1,94555
3252,38.01,-121.37,221400,13.37,95219
3270,33.89,-118.35,470600,15.87,90260
3272,36.65,-120.0,108600,13.32,93706
3289,33.94,-117.19,283900,16.57,92555
3296,37.31,-121.96,870000,12.09,95117
3319,37.91,-122.05,519600,12.14,94596
3335,34.07,-117.7,357100,15.74,91763
3340,34.28,-119.17,500900,16.19,93004
3347,33.16,-117.24,450100,15.73,92081
3350,34.11,-118.15,918100,15.56,91030
3355,34.13,-118.03,711500,15.56,91006
3362,33.85,-118.15,515600,15.82,90712
3370,34.15,-118.14,545500,15.56,91101
3376,38.79,-121.24,275700,12.0,95677
3383,34.44,-119.73,897800,15.61,93105
3385,38.54,-122.81,504300,11.76,95492
3391,33.94,-118.04,449400,15.82,90605
3402,34.23,-118.25,692200,15.33,91214
3413,34.45,-118.54,451300,14.59,91354
3426,36.98,-121.89,755400,12.67,95003
3429,33.73,-117.79,541400,15.95,92782
3458,34.03,-118.47,903100,16.0,90404
3470,38.64,-121.51,234500,12.89,95834
3471,32.68,-117.05,271200,15.25,92139
3473,38.56,-121.49,465500,12.88,95818
3483,37.55,-122.33,1368300,12.09,94402
3485,34.07,-118.14,600300,15.83,91803
3494,33.46,-117.64,631900,16.38,92673
3499,37.84,-122.26,876800,12.4,94609
3501,37.48,-122.21,976300,12.1,94063
3506,37.63,-122.1,422800,12.09,94545
3517,33.59,-117.7,438700,16.06,92653
3519,34.16,-116.43,156400,17.55,92284
3531,37.42,-122.3,1536400,12.1,94062
3538,34.57,-118.02,238100,12.37,93552
3551,34.16,-118.6,680800,15.93,91364
3555,33.64,-117.59,478100,16.25,92679
3562,38.24,-122.04,328000,12.63,94585
3570,33.86,-118.4,1292200,15.69,90254
3580,34.13,-118.21,760100,15.53,90041
3582,36.77,-119.76,140400,13.32,93703
3584,37.95,-122.03,292100,12.4,94518
3585,38.27,-121.3,276500,13.43,95632
3595,38.54,-121.74,390700,13.22,95618
3605,34.43,-118.45,304900,14.31,91351
3606,34.06,-118.04,441700,15.55,91733
3610,37.88,-122.07,461000,12.14,94595
3611,33.93,-118.25,344800,15.81,90059
3622,37.74,-122.17,381200,12.14,94603
3633,36.67,-121.66,419500,12.99,93901
3652,38.52,-121.44,192500,12.88,95824
3672,33.67,-116.18,177700,21.59,92236
3675,38.13,-121.33,266900,13.44,95242
3677,33.74,-117.75,608500,16.22,92602
3691,34.25,-118.28,494400,14.59,91042
3695,33.82,-118.23,407000,15.81,90810
3708,34.15,-116.06,94400,21.73,92277
3734,40.79,-124.16,222000,10.0,95501
3744,33.77,-117.89,584400,15.89,92706
3752,37.79,-122.19,642300,12.14,94619
3760,33.8,-116.93,179000,16.87,92583
3792,34.15,-118.37,631400,15.72,91602
3799,40.46,-122.33,154500,11.47,96007
3802,33.68,-117.83,509300,16.0,92614
3820,33.69,-117.79,609700,16.05,92604
3821,38.59,-121.38,311100,12.89,95864
3828,33.75,-117.47,440800,16.36,92883
3836,40.76,-124.16,212000,10.01,95503
3852,38.44,-122.67,493700,12.35,95405
3859,38.16,-122.28,201000,12.1,94589
3864,36.68,-121.79,432900,13.0,93933
3882,34.05,-118.53,2027000,15.77,90272
3897,33.11,-117.29,573500,15.73,92011
3901,36.6,-119.44,158000,13.2,93654
3914,34.2,-118.6,394600,15.0,91303
3923,34.58,-117.42,148900,13.69,92301
3930,32.8,-117.03,319700,15.54,92119
3947,34.35,-119.07,366800,15.65,93060
3948,33.85,-118.11,538200,15.82,90713
3952,34.24,-118.55,458300,15.0,91324
3956,34.2,-118.33,557500,15.7,91504
3964,38.47,-121.34,304600,13.0,95829
3965,33.8,-118.0,372000,15.78,90680
