Zipcode,Population,Median Age, Household Income ,Per Capita Income,Poverty Count,Poverty Rate
2081,19481,43.4," 95,592 ",47195,437,2.243211334
2090,15364,45.7," 140,355 ",66648,277,1.802915907
2093,11483,43.8," 99,924 ",44484,555,4.833231734
2108,4049,35.2," 115,042 ",93015,336,8.29834527
2109,4015,32.9," 117,344 ",90980,485,12.07970112
2110,2124,53.6," 120,800 ",154698,193,9.086629002
2111,7564,32.9," 39,670 ",49479,1628,21.5230037
2113,7495,30.2," 86,094 ",64452,791,10.55370247
2114,13001,31.3," 86,863 ",74971,1874,14.41427582
2115,28976,22.1," 35,274 ",24497,6260,21.60408614
2116,23004,33.9," 100,674 ",90004,2506,10.89375761
2118,27664,33.6," 59,589 ",55184,6728,24.32041643
2119,26833,35.2," 30,278 ",21110,8215,30.61528715
2120,15322,23.5," 29,592 ",17550,5876,38.35008485
2121,28029,31.2," 26,313 ",16834,9884,35.26347711
2122,24624,34.2," 53,103 ",26093,5066,20.5734243
2124,52986,34.2," 50,044 ",25768,11459,21.62646737
2125,36353,31.9," 49,683 ",26145,9118,25.08183644
2126,29531,37.5," 47,902 ",22365,6070,20.55467136
2127,36311,31.1," 85,336 ",51103,6108,16.8213489
2128,46208,33.7," 52,152 ",25582,8836,19.12222992
2129,18314,34," 90,674 ",61545,3445,18.81074588
2130,39316,33.9," 79,419 ",43418,6509,16.55560077
2131,32459,37.5," 68,655 ",35153,4137,12.74530947
2132,28292,44.3," 91,273 ",46057,1627,5.750742259
2134,17598,26.8," 47,485 ",31655,5103,28.99761337
2135,40513,29.5," 57,330 ",35324,8907,21.98553551
2136,31762,37.2," 62,114 ",28395,3414,10.74869341
2138,37067,28.2," 84,305 ",51614,3242,8.746324224
2139,36338,29.8," 82,953 ",46966,4269,11.74803236
2140,19604,34.1," 85,417 ",52962,2878,14.68067741
2141,13059,32.2," 73,322 ",45651,2216,16.96914006
2142,2807,31.2," 113,950 ",76414,328,11.68507303
2143,26800,31.8," 80,961 ",41141,3999,14.92164179
2144,24475,31.4," 93,234 ",50567,2965,12.11440245
2145,26006,34.2," 62,752 ",32566,3297,12.67784357
2148,60812,35.9," 60,045 ",28718,9300,15.29303427
2149,44496,34.9," 52,427 ",23608,6471,14.54288026
2150,38237,32.8," 49,643 ",22368,7272,19.01822842
2151,53172,39," 51,468 ",26785,6957,13.08395396
2152,18031,43.2," 62,997 ",38436,1669,9.25628085
2155,59348,34.9," 79,572 ",38060,5747,9.683561367
2163,2575,27.4," 51,500 ",32386,320,12.42718447
2169,55876,39.1," 62,157 ",35151,6535,11.69554012
2170,19574,38.5," 71,065 ",35669,1288,6.580157352
2171,17899,40," 73,280 ",37041,1700,9.497737304
2176,27787,40.7," 87,712 ",46307,1034,3.721164573
2180,21831,44.9," 83,783 ",42353,1036,4.745545325
2184,37066,41.8," 85,863 ",38345,2131,5.749204122
2186,27351,38.8," 122,516 ",50964,1076,3.934042631
2188,15347,40.2," 75,129 ",38148,897,5.844790513
2189,15076,40.7," 51,653 ",31718,2119,14.05545237
2190,16886,43.1," 80,139 ",38267,850,5.033755774
2191,8292,46.3," 70,731 ",36357,336,4.052098408
2199,1260,53.4," 99,250 ",107919,128,10.15873016
2203,0,-666666666," (666,666,666)",-666666666,0,
2210,2461,35.5," 155,313 ",112174,69,2.803738318
2215,24698,21.5," 40,115 ",23866,4703,19.04202769
2301,60659,35.1," 44,873 ",22328,12856,21.19388714
2302,34154,37.8," 61,527 ",24277,4089,11.97224337
2322,4476,44.8," 68,021 ",31929,325,7.260947274
2324,27381,35.2," 85,992 ",33264,1890,6.902596691
2330,11557,46," 75,260 ",33634,389,3.365925413
2332,15444,45.5," 119,428 ",54798,611,3.956228956
2333,14222,43," 82,823 ",35986,426,2.995359302
2338,7753,42.9," 73,119 ",31942,269,3.469624661
2339,14332,42.4," 105,635 ",47765,502,3.502651409
2341,10477,43.4," 93,517 ",36282,342,3.264293214
2343,10654,44.7," 66,815 ",33007,850,7.978224141
2346,24005,43," 76,968 ",34625,1835,7.644240783
2347,11230,44.3," 93,676 ",39968,482,4.2920748
